  869.0  860.5  691.0  601.0
  995.0  875.0  678.0  659.0
  1056.0  930.5  833.0  826.0 
  1126.0  954.0  888.0  728.0
  1044.0  909.0  865.0  839.0
  925.0  856.5  1059.5  797.0
  1172.5  896.5  926.0  766.0
  1408.5  1311.0  854.0 986.0
  1028.0  887.0  915.0  735.0
  1011.0  863.0  761.0  657.0
  726.0  674.0  663.0  583.0
  982.0  894.0  831.0  640.0
  1225.0  1179.0  1037.0  905.5
  731.0  662.0  662.5  624.0
  975.5  872.5  814.0  735.0
  1130.5  811.0  843.0  657.0
  945.0  909.0  867.5  754.0
  747.0  752.5  777.0  687.5
  656.5  659.5  572.0  539.0
  919.0  833.0  752.0  611.0
  751.0  744.0  683.0  553.0
  774.0  735.0  671.0  612.0
  941.0  931.0  901.5  700.0
  751.0  785.0  789.0  735.0
  767.0  737.5  724.0  639.0
  813.5  750.5  711.0  625.0
  1289.5  1140.0  904.5  784.5
  1096.5  1009.0  1076.0  983.0
  1083.0  958.0  918.0  746.5
  1114.0  1046.0  1081.0  796.0
  708.0  669.0  657.0  572.5
  1201.0  925.0  1004.5  673.5  
    
