  9.33  19.14  SS  1  1
  8.74  19.55  SS  1  2
  9.31  19.24  SS  1  3
  8.27  16.37  SS  1  4
  10.22  25.00  SS  2  1
  10.13  25.32  SS  2  2
  10.42  27.12  SS  2  3
  10.62  26.28  SS  2  4
  15.25  38.89  SS  3  1
  16.22  36.67  SS  3  2
  17.24  40.74  SS  3  3
  12.77  67.50  SS  3  4
  12.07  33.03  JL  1  1
  11.03  32.37  JL  1  2
  12.48  31.31  JL  1  3
  12.12  33.33  JL  1  4
  15.38  40.00  JL  2  1
  14.21  40.48  JL  2  2
  9.69  33.90  JL  2  3
  14.35  40.15  JL  2  4
  38.71  77.14  JL  3  1
  44.74  78.57  JL  3  2
  36.67  71.43  JL  3  3
  37.21  45.00  JL  3  4
  8.73  23.27  LP  1  1
  7.94  20.87  LP  1  2
  8.37  22.16  LP  1  3
  7.86  21.78  LP  1  4
  8.45  26.32  LP  2  1
  6.79  22.73  LP  2  2
  8.34  26.67  LP  2  3
  7.54  24.87  LP  2  4
  14.04  44.44  LP  3  1
  13.51  37.93  LP  3  2
  13.33  37.93  LP  3  3
  12.77  60.87  LP  3  4
