  1889  1651  1561  1778  .60
  2403  2048  2087  2197  5.48
  2119  1700  1815  2222  7.62
  1645  1627  1110  1533  5.21
  1976  1916  1614  1883  1.40
  1712  1712  1439  1546  2.22
  1943  1685  1271  1671  4.99
  2104  1820  1717  1874  1.49
  2983  2794  2412  2581  12.26
  1745  1600  1384  1508  .77
  1710  1591  1518  1667  1.93
  2046  1907  1627  1898  .46
  1840  1841  1595  1741  2.70
  1867  1685  1493  1678  .13
  1859  1649  1389  1714  1.08
  1954  2149  1180  1281  16.85
  1325  1170  1002  1176  3.50
  1419  1371  1252  1308  3.99
  1828  1634  1602  1755  1.36
  1725  1594  1313  1646  1.46
  2276  2189  1547  2111  9.90
  1899  1614  1422  1477  5.06
  1633  1513  1290  1516  .80
  2061  1867  1646  2037  2.54
  1856  1493  1356  1533  4.58
  1727  1412  1238  1469  3.40
  2168  1896  1701  1834  2.38
  1655  1675  1414  1597  3.00
  2326  2301  2065  2234  6.28
  1490  1382  1214  1284  2.58
