-0.12	0.36	0.40	0.25	1.37	-0.13
-0.60	-0.35	0.04	-0.28	-0.25	-0.15
-0.13	0.05	0.84	0.61	1.45	0.25
-0.46	-0.37	0.30	0.00	-0.12	-0.25
-0.46	-0.24	0.37	0.13	0.78	-0.15
-0.46	-0.16	0.07	0.10	1.15	-0.18
-0.46	-0.24	0.13	0.02	0.26	-0.20
-0.13	0.05	-0.01	0.09	-0.15	-0.18
-0.31	-0.16	-0.20	0.23	0.65	0.15
-0.37	-0.24	0.37	0.21	1.15	0.05
-1.08	-0.83	-0.81	0.05	0.21	0.00
-0.42	-0.30	0.37	-0.58	0.00	-0.45
-0.31	0.10	-0.24	0.24	0.65	0.35
-0.14	0.06	0.18	-0.50	1.25	0.05
-0.61	-0.35	-0.24	0.75	0.15	-0.20
-0.61	-0.30	-0.20	-0.21	-0.50	-0.25
-0.84	-0.35	-0.14	-0.22	1.65	-0.05
-0.96	-0.85	0.19	-0.18	1.00	-0.08
-0.90	-0.34	-0.78	-0.15	0.25	0.25
-0.46	0.36	0.24	-0.58	0.15	0.25
-0.90	-0.59	0.13	0.13	0.60	-0.08
-0.61	-0.50	-0.34	-0.58	0.95	-0.08
-0.61	-0.20	-0.58	-0.20	1.10	0.00
-0.46	-0.30	-0.10	-0.10	0.75	-0.10
-0.60	-0.35	-0.45	0.37	1.18	-0.30
-0.60	-0.36	-0.34	-0.11	1.68	-0.32
-0.31	0.35	-0.45	-0.10	1.00	-0.25
-0.60	-0.25	-0.42	0.28	0.75	0.10
-0.31	0.25	-0.34	-0.24	0.65	0.10
-0.36	-0.16	0.15	-0.38	1.18	-0.10
-0.40	-0.12	-0.48	-0.34	0.30	-0.20
-0.60	-0.40	-0.20	0.32	0.50	0.10
-0.47	-0.16	-0.34	-0.31	0.85	0.60
-0.46	-0.18	0.16	0.01	0.60	0.35
-0.44	-0.12	-0.20	-0.48	1.40	0.10
-0.90	-0.40	0.75	-0.31	0.60	-0.10
-0.50	-0.35	0.84	-0.52	0.35	-0.75
-0.38	0.08	0.55	-0.15	0.80	-0.10
-0.60	-0.35	-0.35	-0.34	0.60	0.85
0.11	0.24	0.15	0.40	0.00	-0.10
0.05	0.12	0.85	0.55	1.65	-0.10
-0.85	-0.65	0.50	0.35	0.80	-0.21
-0.37	-0.10	-0.10	-0.58	1.85	-0.11
-0.11	0.24	0.75	-0.10	0.65	-0.10
-0.60	-0.24	0.13	0.84	0.85	0.15
-0.84	-0.59	0.05	0.61	1.00	0.20
-0.46	-0.16	0.37	-0.15	0.68	0.25
-0.56	-0.35	-0.10	0.75	0.45	0.20
-0.56	-0.16	0.37	-0.25	1.05	0.15
-0.25	-0.12	-0.05	-0.20	1.21	0.10
