  3.9  51.0  0.20  7.06  12.19  Wilhelm
  2.7  49.0  0.07  7.14  12.23  Wilhelm
  2.8  36.0  0.30  7.00  11.30  Wilhelm
  3.1  45.0  0.08  7.20  13.01  Wilhelm
  3.5  46.0  0.10  7.81  12.63  Wilhelm
  3.9  43.0  0.07  6.25  10.42  Wilhelm
  2.7  35.0  0.00  5.11  9.00  Wilhelm
  5.0  47.0  0.07  7.06  6.10  SubMuli
  3.4  32.0  0.20  5.82  4.69  SubMuli
  1.2  12.0  0.00  5.54  3.15  SubMuli
  8.4  17.0  0.07  6.31  4.55  SubMuli
  4.2  36.0  0.50  9.25  4.95  SubMuli
  4.2  35.0  0.50  5.69  2.22  SubMuli
  3.9  41.0  0.10  5.63  2.94  SubMuli
  3.9  36.0  0.07  6.19  2.27  SubMuli
  7.3  32.0  0.30  8.02  12.92  SubMuli
  4.4  46.0  0.07  7.54  5.76  SubMuli
  3.0  30.0  0.00  5.12  10.77  SubMuli
  6.3  13.0  0.50  4.24  8.27  Upper
  1.7  5.6  1.00  5.69  4.64  Upper
  7.3  24.0  0.00  4.34  2.99  Upper
  7.8  18.0  0.50  3.92  6.09  Upper
  7.8  25.0  0.70  5.39  6.20  Upper
  7.8  26.0  1.00  5.02  2.50  Upper
  9.5  17.0  0.05  3.52  5.71  Upper
  7.7  14.0  0.30  4.65  8.63  Upper
  11.0  20.0  0.50  4.27  8.40  Upper
  8.0  14.0  0.30  4.32  7.87  Upper
  8.4  18.0  0.20  4.38  7.98  Upper
  10.0  18.0  0.10  3.06  7.67  Upper
  7.3  15.0  0.05  3.76  6.84  Upper
  9.5  22.0  0.30  3.98  5.02  Upper
  8.4  15.0  0.20  5.02  10.12  Upper
  8.4  17.0  0.20  4.42  8.25  Upper
  9.5  25.0  0.50  4.44  5.95  Upper
  7.2  22.0  1.00  4.70  3.49  Upper
  4.0  12.0  0.50  5.71  6.32  Upper
  6.7  52.0  0.50  4.80  3.20  Upper
  9.0  27.0  0.30  3.69  3.30  Upper
  7.8  29.0  1.50  6.72  5.75  Upper
  4.5  41.0  0.50  3.33  2.27  Upper
  6.2  34.0  0.70  7.56  6.93  Upper
  5.6  20.0  0.50  5.07  6.70  Upper
  9.0  17.0  0.20  4.39  8.33  Upper
  8.4  20.0  0.10  3.74  3.77  Upper
  9.5  19.0  0.50  3.72  7.37  Upper
  9.0  20.0  0.50  5.97  11.17  Upper
  6.2  16.0  0.05  4.23  4.18  Upper
  7.3  20.0  0.50  4.39  3.50  Upper
  3.6  15.0  0.70  7.00  4.82  Upper
  6.2  34.0  0.07  4.84  2.37  Upper
  7.3  22.0  0.00  4.13  2.70  Upper
  4.1  29.0  0.70  5.78  7.76  Upper
  5.4  29.0  0.20  4.64  2.65  Upper
  5.0  34.0  0.70  4.21  6.50  Upper
  6.2  27.0  0.30  3.97  2.97  Upper
