  1.027  1.051  2.268  2.246  0.869  0.964
  0.857  0.817  1.718  1.710  0.602  0.689
  0.875  0.880  1.953  1.756  0.765  0.738
  0.873  0.698  1.668  1.443  0.761  0.698
  0.811  0.813  1.643  1.661  0.551  0.619
  0.640  0.734  1.396  1.378  0.753  0.515
  0.947  0.865  1.851  1.686  0.708  0.787
  0.886  0.806  1.742  1.815  0.687  0.715
  0.991  0.923  1.931  1.776  0.844  0.656
  0.977  0.925  1.933  2.106  0.869  0.789
  0.825  0.826  1.609  1.651  0.654  0.726
  0.851  0.765  2.352  1.980  0.692  0.526
  0.770  0.730  1.470  1.420  0.670  0.580
  0.912  0.875  1.846  1.809  0.823  0.773
  0.905  0.826  1.842  1.579  0.746  0.729
  0.756  0.727  1.747  1.860  0.656  0.506
  0.765  0.764  1.923  1.941  0.693  0.740
  0.932  0.914  2.190  1.997  0.883  0.785
  0.843  0.782  1.242  1.228  0.577  0.627
  0.879  0.906  2.164  1.999  0.802  0.769
  0.673  0.537  1.573  1.330  0.540  0.498
  0.949  0.900  2.130  2.159  0.804  0.779
  0.463  0.637  1.041  1.265  0.570  0.634
  0.776  0.743  1.442  1.411  0.585  0.640
