  0.34  3.71  2.87  30.87  male
  0.39  5.08  3.38  43.85  male
  0.48  5.13  4.13  44.51  male
  0.31  3.95  3.60  46.00  male
  0.36  5.51  3.11  47.02  male
  0.33  4.07  3.95  48.50  male
  0.43  4.77  4.39  48.75  male
  0.48  6.69  3.50  48.86  male
  0.21  3.71  2.82  48.92  male
  0.32  4.35  3.59  48.38  male
  0.54  7.89  3.47  50.56  male
  0.32  5.37  3.07  51.15  male
  0.40  4.95  4.43  55.34  male
  0.31  4.97  3.56  56.67  male
  0.44  6.68  3.86  58.49  male
  0.32  4.80  3.31  49.99  male
  0.50  6.43  3.29  42.25  male
  0.36  5.99  3.10  51.70  male
  0.48  6.30  4.80  63.30  male
  0.40  6.00  3.06  46.23  male
  0.42  6.04  3.85  55.08  male
  0.55  6.45  5.00  58.80  male
  0.50  5.55  5.23  57.46  male
  0.34  4.27  4.00  50.35  male
  0.40  4.58  2.82  32.48  male
  0.29  5.04  1.93  33.85  female
  0.28  3.95  2.51  35.82  female
  0.31  4.88  2.31  36.40  female
  0.30  5.97  1.90  37.87  female
  0.28  4.57  2.32  38.30  female
  0.11  1.74  2.49  39.19  female
  0.25  4.66  2.12  39.21  female
  0.26  5.28  1.98  39.94  female
  0.39  7.32  2.25  42.41  female
  0.37  6.22  1.71  28.97  female
  0.31  4.20  2.76  37.80  female
  0.35  5.10  2.10  31.10  female
  0.29  4.46  2.50  38.30  female
  0.33  5.60  3.06  51.80  female
  0.18  2.80  2.40  37.60  female
  0.28  4.01  2.58  36.78  female
  0.44  6.69  3.05  46.16  female
  0.22  4.55  1.85  38.95  female
  0.34  5.73  2.43  40.60  female
  0.30  5.12  2.58  43.69  female
  0.31  4.77  1.97  30.40  female
  0.27  5.16  2.03  39.46  female
  0.66  11.05  2.32  39.34  female
  0.37  5.23  2.48  34.86  female
  0.35  5.37  2.25  35.07  female
