  16.44  12.43  11.23  gasoline
  7.19  2.70  3.92  gasoline
  9.92  1.35  9.75  gasoline
  4.24  5.78  7.78  gasoline
  11.20  5.05  10.67  gasoline
  14.25  5.78  9.88  gasoline
  13.50  10.98  10.60  gasoline
  13.32  14.27  9.45  gasoline
  29.11  15.09  3.28  gasoline
  12.68  7.61  10.23  gasoline
  7.51  5.80  8.13  gasoline
  9.90  3.63  9.13  gasoline
  10.25  5.07  10.17  gasoline
  11.11  6.15  7.61  gasoline
  12.17  14.26  14.39  gasoline
  10.24  2.59  6.09  gasoline
  10.18  6.05  12.14  gasoline
  8.88  2.70  12.23  gasoline
  12.34  7.73  11.68  gasoline
  8.51  14.02  12.01  gasoline
  26.16  17.44  16.89  gasoline
  12.95  8.24  7.18  gasoline
  16.93  13.37  17.59  gasoline
  14.70  10.78  14.58  gasoline
  10.32  5.16  17.00  gasoline
  8.98  4.49  4.26  gasoline
  9.70  11.59  6.83  gasoline
  12.72  8.63  5.59  gasoline
  9.49  2.16  6.23  gasoline
  8.22  7.95  6.72  gasoline
  13.70  11.22  4.91  gasoline
  8.21  9.85  8.17  gasoline
  15.86  11.42  13.06  gasoline
  9.18  9.18  9.49  gasoline
  12.49  4.67  11.94  gasoline
  17.32  6.86  4.44  gasoline
  8.50  12.26  9.11  diesel
  7.42  5.13  17.15  diesel
  10.28  3.32  11.23  diesel
  10.16  14.72  5.99  diesel
  12.79  4.17  29.28  diesel
  9.60  12.72  11.00  diesel
  6.47  8.89  19.00  diesel
  11.35  9.95  14.53  diesel
  9.15  2.94  13.68  diesel
  9.70  5.06  20.84  diesel
  9.77  17.86  35.18  diesel
  11.61  11.75  17.00  diesel
  9.09  13.25  20.66  diesel
  8.53  10.14  17.45  diesel
  8.29  6.22  16.38  diesel
  15.90  12.90  19.09  diesel
  11.94  5.69  14.77  diesel
  9.54  16.77  22.66  diesel
  10.43  17.65  10.66  diesel
  10.87  21.52  28.47  diesel
  7.13  13.22  19.44  diesel
  11.88  12.18  21.20  diesel
  12.03  9.22  23.09  diesel
