1.0000   .6386   .4752   .3227   .5520    .3262   .3509   .4008   .1821  -.0352
 .6386  1.0000   .4953   .5668   .4706    .3520   .3998   .5167   .3102   .1012
 .4752   .4953  1.0000   .4357   .2539    .2812   .7926   .4728   .4682  -.0120
 .3227   .5668   .4357  1.0000   .3449    .3503   .3657   .6040   .2344   .2380
 .5520   .4706   .2539   .3449  1.0000    .1546   .2100   .4213   .2116   .4125
 .3262   .3520   .2812   .3503   .1546   1.0000   .2553   .4163   .1712   .0002
 .3509   .3998   .7926   .3657   .2100    .2553  1.0000   .4036   .4179   .0109
 .4008   .5167   .4728   .6040   .4213    .4163   .4036  1.0000   .3151   .2395
 .1821   .3102   .4682   .2344   .2116    .1712   .4179   .3151  1.0000   .0983
-.0352   .1012  -.0120   .2380   .4125    .0002   .0109   .2395   .0983  1.0000

