   15.31    57.3    74.8
   15.20    63.8    74.0
   16.25    65.4    72.9
   14.33    57.0    70.0
   14.57    63.8    74.9
   17.33    63.2    76.0
   14.48    60.2    72.0
   14.91    57.7    73.5
   15.25    56.4    74.5
   13.89    55.6    73.5
   15.18    62.6    71.5
   14.44    63.4    71.0
   14.87    60.2    78.9
   18.63    67.2    86.5
   15.20    57.1    68.0
   25.76    89.6   102.0
   19.05    68.6    84.0
   15.37    60.1    69.0
   18.06    66.3    88.0
   16.35    65.8    76.0
