  227  32  30  12  1
  236  31  32  8  1
  228  30  31  8  0
  252  34  30  8  0
  238  28  34  12  0
  195  24  28  8  0
  261  39  24  16  0
  406  62  39  16  1
  428  62  62  16  1
  366  49  62  16  0
  426  62  49  16  0
  402  53  62  8  0
  301  38  53  12  0
  247  30  38  8  0
  310  46  30  16  1
  401  59  46  14  1
  363  50  59  16  0
  343  46  50  2  0
  448  60  46  12  0
  450  57  60  14  0
  352  45  57  8  0
317  46  45  8  1
376  47  46  12  1
348  38  47  16  0
298  37  38  8  0
342  45  37  8  0
328  37  45  20  0
289  39  37  16  0
259  38  39  12  1
288  35  38  16  1
263  32  35  8  0
258  31  32  14  0
299  37  31  16  0
330  42  37  12  0
290  35  42  20  0
225  30  35  16  1
378  50  30  18  1
447  59  50  12  0
386  42  59  22  0
416  54  42  16  0
469  61  54  12  0
439  58  61  14  0
378  48  58  18  1
349  42  48  18  1
363  45  42  12  0
431  56  45  12  0
424  52  56  16  0
384  47  52  8  0
252  33  47  8  0
194  25  33  16  1
184  23  25  16  1
192  25  23  12  0
213  30  25  12  0
233  31  30  8  0
212  30  31  12  0
192  26  30  16  0
213  32  26  12  1
296  41  32  16  1
333  46  41  8  0
266  33  46  8  0
280  38  33  18  0
386  52  38  22  0
415  57  52  18  0
