21.312	7.039	5.326	0.932	-0.030	35.239	36.991	1.057
21.206	6.979	5.237	0.871	0.015	35.713	36.851	1.064
20.709	6.779	5.060	0.742	0.025	39.220	30.586	1.053
19.542	6.601	4.479	0.513	0.030	39.756	21.072	1.050
20.449	6.795	4.912	0.577	-0.070	32.991	36.570	1.049
20.841	6.919	5.108	0.784	-0.050	31.140	38.115	1.052
19.060	6.447	4.246	0.358	-0.247	28.375	41.364	1.044
18.597	6.261	4.032	0.215	-0.099	32.580	36.430	1.038
19.346	6.572	4.358	0.432	-0.242	23.889	49.080	1.042
18.720	6.455	4.072	0.372	-0.188	28.027	39.243	1.042
18.587	6.295	4.068	0.239	-0.099	33.128	32.802	1.052
19.813	6.775	4.604	0.637	-0.232	26.492	40.939	1.042
19.989	6.737	4.686	0.779	-0.045	32.169	32.524	1.045
19.116	6.512	4.299	0.588	0.055	35.103	31.139	1.042
18.769	6.335	4.089	0.470	0.070	40.893	21.473	1.049
18.708	6.271	3.978	0.457	-0.015	32.649	31.554	1.038
19.323	6.550	4.404	0.588	-0.109	27.749	38.538	1.036
17.433	5.948	3.486	0.104	0.000	36.187	25.927	1.022
19.195	6.213	4.300	0.405	-0.193	34.491	25.519	1.047
19.436	6.387	4.404	0.519	-0.090	31.827	29.209	1.050
20.136	6.725	4.723	0.652	-0.154	29.622	32.385	1.057
16.740	6.168	3.201	0.104	-0.154	35.917	29.346	1.033
18.589	6.531	3.989	0.336	-0.149	30.658	35.730	1.033
19.422	6.615	4.382	0.432	-0.271	29.415	33.775	1.033
24.420	7.874	6.999	1.730	0.243	51.638	15.922	1.099
25.288	8.034	7.406	1.873	0.340	58.686	9.159	1.101
26.119	8.222	7.771	1.946	0.080	49.025	27.700	1.097
23.113	7.288	6.329	1.513	0.131	46.266	23.893	1.076
25.209	7.955	7.296	1.792	0.136	50.333	17.888	1.095
25.444	8.045	7.477	1.847	0.176	44.218	26.880	1.090
23.699	7.593	6.609	1.482	0.151	43.887	33.775	1.082
24.303	7.775	6.861	1.583	0.207	48.894	23.219	1.081
24.793	8.123	7.202	1.703	-0.015	40.158	42.074	1.066
23.438	7.650	6.457	1.477	0.126	54.559	11.293	1.089
24.197	7.794	6.833	1.583	0.131	49.025	17.494	1.088
24.741	7.996	7.152	1.728	0.070	49.287	23.354	1.092
24.170	7.766	6.846	1.615	0.156	45.673	29.622	1.070
24.174	7.877	6.826	1.692	0.055	45.475	21.072	1.076
25.052	8.287	7.332	1.773	-0.015	42.958	33.636	1.085
23.846	7.639	6.615	1.560	0.090	48.632	13.977	1.070
24.822	8.041	7.129	1.721	0.015	49.025	18.284	1.073
25.200	8.270	7.356	1.785	0.010	43.821	27.290	1.087
23.695	7.460	6.567	1.543	0.131	46.530	18.284	1.069
24.941	7.929	7.286	1.703	0.000	46.398	18.416	1.075
25.007	8.081	7.287	1.787	-0.099	44.946	24.164	1.078
21.183	7.156	5.388	0.924	-0.188	51.898	19.209	1.064
21.875	7.336	5.762	1.068	-0.173	48.436	26.880	1.065
22.095	7.447	5.790	1.182	-0.227	47.254	29.346	1.066
25.166	7.913	7.211	1.813	0.314	56.627	2.925	1.118
24.560	7.854	7.020	1.701	0.217	53.458	0.511	1.122
22.007	8.259	7.322	1.169	0.381	60.993	0.000	1.118
21.115	7.913	6.557	0.928	0.397	58.429	1.147	1.129
26.194	8.454	7.816	2.145	0.289	56.755	0.407	1.113
25.674	8.208	7.534	2.046	0.202	56.111	0.407	1.104
25.930	8.100	7.669	2.037	0.273	53.847	2.023	1.111
21.390	7.475	5.294	0.875	0.558	63.035	-0.391	1.113
18.441	6.652	3.946	0.140	-0.672	3.448	76.878	1.020
16.441	6.315	2.997	-0.400	-0.605	2.845	84.554	1.008
16.294	6.572	3.017	-0.478	-0.694	1.515	81.988	0.998
20.289	7.719	4.866	0.239	-0.559	2.054	8.786	1.081
17.163	7.086	3.396	-0.236	-0.415	3.018	5.855	1.033
20.289	7.437	4.859	0.470	-0.324	17.639	28.934	1.070
 
