 16.44   12.43   11.23
 7.19    2.70    3.92
 9.92    1.35    9.75
 4.24    5.78    7.78
 11.20   5.05    10.67
 14.25   5.78    9.88
 13.50   10.98   10.60
 13.32   14.27   9.45
 29.11   15.09   3.28
 12.68   7.61    10.23
 7.51    5.80    8.13
 9.90    3.63    9.13
 10.25   5.07    10.17
 11.11   6.15    7.61
 12.17   14.26   14.39
 10.24   2.59    6.09
 10.18   6.05    12.14
 8.88    2.70    12.23
 12.34   7.73    11.68
 8.51    14.02   12.01
 26.16   17.44   16.89
 12.95   8.24    7.18
 16.93   13.37   17.59
 14.70   10.78   14.58
 10.32   5.16    17.00
 
