  2  3  5  5  Husband
  5  5  4  4  Husband
  4  5  5  5  Husband
  4  3  4  4  Husband
  3  3  5  5  Husband
  3  3  4  5  Husband
  3  4  4  4  Husband
  4  4  5  5  Husband
  4  5  5  5  Husband
  4  4  3  3  Husband
  4  4  5  5  Husband
  5  5  4  4  Husband
  4  4  4  4  Husband
  4  3  5  5  Husband
  4  4  5  5  Husband
  3  3  4  5  Husband
  4  5  4  4  Husband
  5  5  5  5  Husband
  5  5  4  4  Husband
  4  4  4  4  Husband
  4  4  4  4  Husband
  4  4  4  4  Husband
  3  4  5  5  Husband
  5  3  5  5  Husband
  5  5  3  3  Husband
  3  3  4  4  Husband
  4  4  4  4  Husband
  3  3  5  5  Husband
  4  4  3  3  Husband
  4  4  5  5  Husband
  4  4  5  5  Wife
  4  5  5  5  Wife
  4  4  5  5  Wife
  4  5  5  5  Wife
  4  4  5  5  Wife
  3  3  4  4  Wife
  4  3  5  4  Wife
  3  4  5  5  Wife
  4  4  5  4  Wife
  3  4  4  4  Wife
  4  5  5  5  Wife
  5  5  5  5  Wife
  4  4  5  5  Wife
  4  4  4  4  Wife
  4  4  5  5  Wife
  3  4  4  4  Wife
  5  5  5  5  Wife
  4  5  4  4  Wife
  3  4  4  4  Wife
  5  3  4  4  Wife
  5  3  4  4  Wife
  4  5  4  4  Wife
  2  5  5  5  Wife
  3  4  5  5  Wife
  4  3  5  5  Wife
  4  4  4  4  Wife
  4  4  5  5  Wife
  3  4  4  4  Wife
  4  4  5  4  Wife
  4  4  5  5  Wife
