271.0	18.50	F
477.0	82.50	F
306.3	23.40	F
365.3	33.50	F
466.0	69.00	F
440.7	54.00	F
315.0	24.97	F
417.5	56.75	F
307.3	23.15	F
319.0	29.51	F
303.9	19.98	F
331.7	24.00	F
435.0	70.37	F
261.3	15.50	F
384.8	63.00	F
360.3	39.00	F
441.4	53.00	F
246.7	15.75	F
365.3	44.00	F
336.8	30.00	F
326.7	34.00	F
312.0	25.00	F
226.7	9.25	F
347.4	30.00	F
280.2	15.25	F
290.7	21.50	F
438.6	57.00	F
377.1	61.50	F
176.7	3.00	M
259.5	9.75	M
258.0	10.07	M
229.8	7.50	M
233.0	6.25	M
237.5	9.85	M
268.3	10.00	M
222.5	9.00	M
186.5	3.75	M
238.8	9.75	M
257.6	9.75	M
172.0	3.00	M
244.7	10.00	M
224.7	7.25	M
231.7	9.25	M
235.9	7.50	M
236.5	5.75	M
247.4	7.75	M
223.0	5.75	M
223.7	5.75	M
212.5	7.65	M
223.2	7.75	M
225.0	5.84	M
228.0	7.53	M
215.6	5.75	M
221.0	6.45	M
236.7	6.49	M
235.3	6.00	M
