  1  2  108  368
  1  1  131  355
  1  1  105  469
  1  2   86  506
  1  1   99  402
  1  2   87  423
  1  1   94  440
  1  2  117  489
  1  2   79  432
  1  1   99  403
  1  1  114  428
  1  2  123  372
  1  1  123  372
  1  2  109  420
  1  2  112  394
  1  1  104  407
  1  2  111  422
  1  2  126  423
  1  2  105  434
  1  1  119  474
  1  1  114  396
  1  2  100  470
  1  2   84  399
  1  2  102  429
  1  2  101  469
  1  2   85  444
  1  1  109  397
  1  2  106  442
  1  1   82  431
  1  2  118  381
  1  1  105  388
  1  1  121  403
  1  1   85  451
  1  1   83  453
  1  1   53  427
  1  1   95  411
  1  1   76  442
  1  1   95  426
  1  2   87  402
  1  1   70  397
  1  2   84  511
  1  2   91  469
  1  1   74  451
  1  2  101  474
  1  1   80  398
  1  1   95  433
  1  2   92  404
  1  1   99  481
  1  2   94  491
  1  1   87  480
  2  1  129  420
  2  1  148  371
  2  1  179  407
  2  2  152  381
  2  2  166  377
  2  2  124  389
  2  1  156  419
  2  2  131  345
  2  1  140  362
  2  2  144  345
  2  2  149  393
  2  1  108  330
  2  1  135  355
  2  2  170  386
  2  1  152  301
  2  1  153  397
  2  1  152  301
  2  2  136  438
  2  2  122  306
  2  1  148  383
  2  2   90  385
  2  1  145  337
  2  1  123  364
  2  2  145  376
  2  2  115  354
  2  2  134  383
  2  1  117  355
  2  2  126  345
  2  1  118  379
  2  2  120  369
  2  1  153  403
  2  2  150  354
  2  1  154  390
  2  1  155  349
  2  2  109  325
  2  2  117  344
  2  1  128  400
  2  1  144  403
  2  2  163  370
  2  2  145  355
  2  1  133  375
  2  1  128  383
  2  2  123  349
  2  1  144  373
  2  2  140  388
  2  2  150  339
  2  2  124  341
  2  1  125  346
  2  1  153  352
  2  1  108  339
