  0.801  121.41  70.42
  0.824  127.70  72.47
  0.841  129.20  78.20
  0.816  131.80  74.89
  0.840  135.10  71.21
  0.842  131.50  78.39
  0.820  126.70  69.02
  0.802  115.10  73.10
  0.828  130.80  79.28
  0.819  124.60  76.48
  0.826  118.31  70.25
  0.802  114.20  72.88
  0.810  120.30  68.23
  0.802  115.70  68.12
  0.832  117.51  71.62
  0.796  109.81  53.10
  0.759  109.10  50.85
  0.770  115.10  51.68
  0.759  118.31  50.60
  0.772  112.60  53.51
  0.806  116.20  56.53
  0.803  118.00  70.70
  0.845  131.00  74.35
  0.822  125.70  68.29
  0.971  126.10  72.10
  0.816  125.80  70.64
  0.836  125.50  76.33
  0.815  127.80  76.75
  0.822  130.50  80.33
  0.822  127.90  75.68
  0.843  123.90  78.54
  0.824  124.10  71.91
  0.788  120.80  68.22
  0.782  107.40  54.42
  0.795  120.70  70.41
  0.805  121.91  73.68
  0.836  122.31  74.93
  0.788  110.60  53.52
  0.772  103.51  48.93
  0.776  110.71  53.67
  0.758  113.80  52.42
