ARG	11.57	22.94	52.50	2.05	4.25	9.19	150.32
AUS	11.12	22.23	48.63	1.98	4.02	8.63	143.51
AUT	11.15	22.70	50.62	1.94	4.05	8.78	154.35
BEL	11.14	22.48	51.45	1.97	4.08	8.82	143.05
BER	11.46	23.05	53.30	2.07	4.29	9.81	174.18
BRA	11.17	22.60	50.62	1.97	4.17	9.04	147.41
CAN	10.98	22.62	49.91	1.97	4.00	8.54	148.36
CHI	11.65	23.84	53.68	2.00	4.22	9.26	152.23
CHN	10.79	22.01	49.81	1.93	3.84	8.10	139.39
COL	11.31	22.92	49.64	2.04	4.34	9.37	155.19
COK	12.52	25.91	61.65	2.28	4.82	11.10	212.33
CRC	11.72	23.92	52.57	2.10	4.52	9.84	164.33
CZE	11.09	21.97	47.99	1.89	4.03	8.87	145.19
DEN	11.42	23.36	52.92	2.02	4.12	8.71	149.34
DOM	11.63	23.91	53.02	2.09	4.54	9.89	166.46
FIN	11.13	22.39	50.14	2.01	4.10	8.69	148.00
FRA	10.73	21.99	48.25	1.94	4.03	8.64	148.27
GER	10.81	21.71	47.60	1.92	3.96	8.51	141.45
GBR	11.10	22.10	49.43	1.94	3.97	8.37	135.25
GRE	10.83	22.67	50.56	2.00	4.09	8.96	153.40
GUA	11.92	24.50	55.64	2.15	4.48	9.71	171.33
HUN	11.41	23.06	51.50	1.99	4.02	8.55	148.50
INA	11.56	23.86	55.08	2.10	4.36	9.50	154.29
IND	11.38	22.82	51.05	2.00	4.10	9.11	158.10
IRL	11.43	23.02	51.07	2.01	3.98	8.36	142.23
ISR	11.45	23.15	52.06	2.07	4.24	9.33	156.36
ITA	11.14	22.60	51.31	1.96	3.98	8.59	143.47
JPN	11.36	23.33	51.93	2.01	4.16	8.74	139.41
KEN	11.62	23.37	51.56	1.97	3.96	8.39	138.47
KOR, S	11.49	23.80	53.67	2.09	4.24	9.01	146.12
KOR, N	11.80	25.10	56.23	1.97	4.25	8.96	145.31
LUX	11.76	23.96	56.07	2.07	4.35	9.21	149.23
MAS	11.50	23.37	52.56	2.12	4.39	9.31	169.28
MRI	11.72	23.83	54.62	2.06	4.33	9.24	167.09
MEX	11.09	23.13	48.89	2.02	4.19	8.89	144.06
MYA	11.66	23.69	52.96	2.03	4.20	9.08	158.42
NED	11.08	22.81	51.35	1.93	4.06	8.57	143.43
NZL	11.32	23.13	51.60	1.97	4.10	8.76	146.46
NOR	11.41	23.31	52.45	2.03	4.01	8.53	141.06
PNG	11.96	24.68	55.18	2.24	4.62	10.21	221.14
PHI	11.28	23.35	54.75	2.12	4.41	9.81	165.48
POL	10.93	22.13	49.28	1.95	3.99	8.53	144.18
POR	11.30	22.88	51.92	1.98	3.96	8.50	143.29
ROM	11.30	22.35	49.88	1.92	3.90	8.36	142.50
RUS	10.77	21.87	49.11	1.91	3.87	8.38	141.31
SAM	12.38	25.45	56.32	2.29	5.42	13.12	191.58
SIN	12.13	24.54	55.08	2.12	4.52	9.94	154.41
ESP	11.06	22.38	49.67	1.96	4.01	8.48	146.51
SWE	11.16	22.82	51.69	1.99	4.09	8.81	150.39
SUI	11.34	22.88	51.32	1.98	3.97	8.60	145.51
TPE	11.22	22.56	52.74	2.08	4.38	9.63	159.53
THA	11.33	23.30	52.60	2.06	4.38	10.07	162.39
TUR	11.25	22.71	53.15	2.01	3.92	8.53	151.43
USA	10.49	21.34	48.83	1.94	3.95	8.43	141.16
