y,x1,x2,x3,x4,x5
1743.274502,38.65894601,29.19783776,-37.80637532,0,61.56238582
3152.725336,32.57834022,59.65512845,-62.72813066,1,44.00796135
3847.000409,80.34995973,61.50295039,-53.74647145,1,62.43833571
4669.014876,34.80262784,78.73772056,-55.65728432,0,48.24611612
4233.103968,76.43929957,65.17811687,-50.70134698,0,51.00454567
2523.910464,42.03658005,39.99889054,-56.07203806,0,59.2404269
4029.122134,82.66610098,66.81225027,-41.33372351,1,65.39446424
3081.247943,88.98537142,36.84155902,-54.54240903,0,37.39335374
4469.463133,52.95416214,68.30973108,-69.92464829,0,18.67311793
3349.436068,53.93159389,61.14184219,-35.97431308,0,52.7773119
2903.888394,74.55506619,43.95040918,-56.89679788,1,38.78115865
3771.233277,89.60141828,59.88022022,-34.1339959,0,67.49759655
2773.944334,86.7539075,34.83419938,-59.70319251,1,58.30899973
4089.743777,57.35264331,69.03743369,-45.32551864,0,55.24757005
2203.670158,48.95940788,39.91058418,-47.19882144,1,58.44465451
4241.863787,73.63177175,61.30625704,-65.45495271,0,36.38866142
3151.83195,76.85106452,42.97599763,-55.52898722,0,52.55580706
3070.732738,37.66076164,49.3940645,-66.22121621,0,51.51599909
3745.15076,67.67903446,59.05822994,-51.73504755,0,56.59210991
3200.832677,70.88819112,47.39984559,-52.69751604,0,48.25059404
2934.762325,44.59433565,51.61390976,-48.8324942,0,54.49249061
4107.730623,80.45649071,65.94813019,-52.5174994,1,45.2688111
2984.971885,87.05633251,46.15156144,-32.40144208,0,60.76221007
2858.944922,54.38470855,44.96893975,-53.38361497,0,38.07281923
3531.945299,75.39869012,53.09999931,-51.7670243,0,55.25730578
3548.613787,93.88105158,54.51206463,-34.95293095,0,60.32480773
3124.473808,90.03136881,37.79943339,-54.41824174,0,34.17941801
4302.922686,92.41988968,64.95127917,-43.04417114,0,47.001108
3865.044948,67.6186869,62.0201722,-48.81333314,0,48.8772394
2611.48364,60.76172197,29.12938206,-64.73268482,0,42.02279163
5253.343301,92.90415251,77.97207036,-44.34468408,0,52.34271116
4193.560459,85.25181372,59.59993224,-59.54006573,0,53.85609306
4449.641121,70.30610884,69.92792319,-50.53670934,0,28.35569464
4732.472812,94.77126143,68.80806297,-50.15829847,0,44.91301268
3003.841405,33.25853706,57.94141332,-43.4665049,0,52.93966585
2514.192248,51.90567602,40.42577637,-63.52903037,1,20.44059471
2500.96084,42.18051898,47.32167669,-39.33099158,0,49.4185931
2673.311095,42.72675561,47.00215874,-48.35449833,0,66.04309782
3025.628979,65.22181102,41.01530834,-62.00198842,0,32.0843999
2837.939867,38.20398633,53.95375937,-42.59519708,0,61.34958987
5849.618333,92.78743586,83.86754869,-50.76937901,0,58.16775184
2982.574211,40.0341829,46.34894379,-67.11247135,0,53.21213235
3299.425074,93.23082693,42.54101637,-51.42504533,0,38.0727427
3612.82881,79.13579017,56.85839791,-42.85933524,0,54.18651876
4571.495902,53.63173886,76.14126133,-46.88598775,0,79.73185838
3430.449446,86.60917307,47.9054385,-51.07521234,0,62.15528201
2327.703767,37.51178044,41.02538025,-47.85177303,0,68.1251039
2407.305124,68.85925776,40.40928812,-39.45409379,1,58.02268304
3172.718726,45.50828463,55.67550217,-49.12801553,0,45.82424916
2554.881297,81.61512295,30.74671233,-44.05491302,0,61.1449494
4044.833081,79.51696076,60.31013931,-54.04147589,0,38.3315591
2904.848974,54.21348138,41.19784728,-63.70003004,0,31.01139145
2664.152833,54.42803341,34.19180731,-64.3413219,0,28.89708353
3050.116065,69.55225921,33.04639534,-74.28422639,0,41.84830782
2895.167572,93.23124132,35.85042985,-44.0182366,0,53.79351042
3602.679945,86.60786944,51.18318549,-51.8832383,0,43.69952411
4387.179342,66.3738988,66.46681958,-61.96466572,0,26.2969382
4783.636821,68.7546367,77.45453033,-40.8848835,0,53.94497667
4844.34212,52.71044143,82.13624316,-50.48378941,1,44.83293263
2161.295073,44.91058309,30.44138391,-52.29465951,0,44.50400278
3547.617802,55.49573879,64.75060466,-45.19209433,1,55.732478
2923.016572,40.867357,50.58271479,-53.60376746,0,37.70445295
2536.562465,41.88984681,38.14098167,-60.25777072,0,48.77429031
4044.450128,33.29189513,71.75914596,-51.67696521,0,40.87259115
2835.554805,90.96581661,29.91366256,-52.2468314,0,49.62648895
2360.938792,50.67796584,48.82880344,-22.30272972,0,80.74263889
2182.023479,54.80457967,33.49303061,-41.07526884,0,53.68532579
3260.219309,86.09304777,50.98261311,-48.09103836,1,54.43018455
2978.718191,33.75510815,59.59182263,-37.39973231,0,52.16641713
3128.436488,39.10189472,51.50457972,-62.81840221,0,32.29931157
3629.288869,77.1186338,60.2980318,-35.30139883,0,52.63010865
2729.80311,39.66606757,50.06838425,-46.18820075,0,45.82507898
4815.262438,94.06427891,69.25855949,-53.17278522,0,39.01159042
3413.86903,74.3674183,51.6432299,-50.42115063,0,42.84955111
4266.372019,66.29677964,64.06472512,-63.86887785,0,24.99219821
2394.257817,43.5249441,37.67344194,-53.03869269,0,50.52606243
4625.841333,38.42679276,80.1895349,-60.71616534,1,53.07250497
1682.85813,55.63097419,25.77226576,-35.59960221,1,47.80020383
4211.3156,72.65058899,65.32616435,-52.25314282,0,51.66735236
2221.123155,59.42325253,26.63014721,-49.68778621,0,55.58440033
3303.842956,34.00026346,62.98028699,-43.22723363,0,68.98515841
3019.679764,35.97334491,58.50978752,-40.85832953,0,62.8002415
2494.671154,45.84410929,25.72195257,-74.63281663,0,27.59618823
4644.785618,32.45768904,79.32334843,-54.13318677,0,46.01233519
3876.519906,64.93559022,66.94869608,-48.3469238,1,56.21483415
3941.077,82.66213812,50.53634157,-73.20656425,0,30.47514634
2837.011361,73.06589161,40.98222683,-46.69055685,0,44.3355842
2872.668364,65.48251977,40.64132478,-54.79191166,0,35.50221771
1902.393512,40.48995378,37.67973501,-41.36875137,1,63.69813742
3701.336549,53.04415782,58.82614368,-61.25546871,0,29.79941443
2940.059912,46.91219933,46.78891582,-58.88432057,0,21.58992191
