120265 . . . 25
120267 15 15 15 15
120269 20 20 20 20
120270 20 10 5 .
120271 20 20 20 20
120272 10 10 10 10
120275 15 15 15 15
120660 25 25 25 25
120662 10 . 5 5
120663 . . 5 .
120668 10 10 10 10
120669 15 15 15 15
120671 20 20 20 20
120677 25 25 25 25
120678 10 10 . .
120679 . 20 5 15
120680 15 15 15 15
120681 10 10 5 15
120684 5 5 5 5
120686 15 15 15 15
120689 15 15 15 15
120713 15 15 15 15
120715 10 10 10 10
120721 5 5 5 5
120726 10 10 10 10
120734 . . 15 10
120736 25 . . 20
120740 15 15 15 15
120742 . . 10 10
120745 15 15 15 15
120746 20 20 20 20
120747 20 20 20 20
120748 20 20 20 20
120752 10 . . .
120753 25 25 25 25
120754 10 10 10 10
120757 . . 15 5
120759 15 20 5 .
120760 . 15 20 .
120761 10 10 10 10
120762 . . 5 5
120764 15 15 15 15
120766 25 25 25 25
120767 15 15 15 15
120768 20 20 20 .
120771 20 20 20 20
120773 10 10 10 10
120777 5 15 5 15
120778 15 15 15 15
120783 20 20 20 20
120789 5 . . .
120790 20 20 20 20
120791 30 30 30 30
120792 20 20 20 20
120793 15 15 15 15
120794 . . 20 20
120799 5 5 5 5
120801 20 20 20 20
120807 20 20 20 20
120808 . . 10 .
120813 20 20 20 .
120814 25 25 25 25
120815 15 15 15 15
120994 5 5 10 10
120995 15 15 15 15
120996 15 15 15 15
120999 5 5 5 5
121000 20 20 20 20
121002 10 10 10 10
121008 10 10 10 10
121009 15 15 15 15
121010 10 10 10 10
121012 . . 5 5
121013 10 5 . 5
121014 15 15 15 15
121018 10 . . .
121022 15 15 15 15
121025 10 10 10 10
121030 10 10 10 10
121031 10 10 10 10
121033 15 15 15 15
121036 . . . 10
121037 10 10 10 10
121039 10 10 10 10
121040 10 10 10 10
121044 10 10 10 10
121053 5 . 5 .
121054 15 15 15 15
121056 . 10 10 10
121058 10 10 10 10
121061 10 10 10 10
121062 15 15 15 15
121063 15 15 15 15
121065 10 10 10 10
121069 10 10 10 10
121074 10 10 10 10
121077 15 15 15 15
121078 15 15 15 15
121079 10 10 10 10
121083 15 15 15 15
121086 . 10 10 .
121089 15 15 15 15
121093 5 . . .
121097 10 10 10 10
121100 5 5 5 5
121101 5 . 10 5
121102 5 5 5 5
121103 10 10 10 10
121105 15 15 15 15
121125 10 . . .
121126 10 . . .
121128 10 . . .
121129 10 . . .
121131 10 . . .
121132 10 . . .
121133 5 . . .
121134 5 . . .
121136 5 5 5 5
121138 10 10 10 10
121140 10 10 10 10
121142 35 35 35 35
121143 35 35 35 35
121145 35 35 35 35
121147 10 10 10 10
